,first_name,last_name,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,property_valuation,Rank,age,age_group,RA_CODE_2016,RA_NAME_2016,RATIO,PERCENTAGE,Loyalty
18,Rutledge,Hallt,Male,23,Financial Services,Mass Customer,No,8,7 Nevada Crossing,2620,NSW,7,6,45.0,40-49,80.0,Major Cities of Australia,0.0174731,1.7473128,Bronze
19,Rutledge,Hallt,Male,23,Financial Services,Mass Customer,No,8,7 Nevada Crossing,2620,NSW,7,6,45.0,40-49,81.0,Inner Regional Australia,0.0055554,0.5555379,Bronze
20,Sybilla,MacCart,Female,88,Financial Services,Mass Customer,Yes,7,74 Welch Pass,2620,NSW,7,32,35.0,30-39,10.0,Major Cities of Australia,0.7160068,71.6006793,Bronze
21,Sybilla,MacCart,Female,88,Financial Services,Mass Customer,Yes,7,74 Welch Pass,2620,NSW,7,32,35.0,30-39,11.0,Inner Regional Australia,0.2609647,26.09647,Bronze
22,Sybilla,MacCart,Female,88,Financial Services,Mass Customer,Yes,7,74 Welch Pass,2620,NSW,7,32,35.0,30-39,80.0,Major Cities of Australia,0.0174731,1.7473128,Bronze
23,Sybilla,MacCart,Female,88,Financial Services,Mass Customer,Yes,7,74 Welch Pass,2620,NSW,7,32,35.0,30-39,81.0,Inner Regional Australia,0.0055554,0.5555379,Bronze
24,Renate,Whyte,Female,60,Health,High Net Worth,Yes,15,4189 Laurel Center,2620,NSW,7,828,58.0,50-59,10.0,Major Cities of Australia,0.7160068,71.6006793,Silver
25,Renate,Whyte,Female,60,Health,High Net Worth,Yes,15,4189 Laurel Center,2620,NSW,7,828,58.0,50-59,11.0,Inner Regional Australia,0.2609647,26.09647,Silver
26,Renate,Whyte,Female,60,Health,High Net Worth,Yes,15,4189 Laurel Center,2620,NSW,7,828,58.0,50-59,80.0,Major Cities of Australia,0.0174731,1.7473128,Bronze
27,Renate,Whyte,Female,60,Health,High Net Worth,Yes,15,4189 Laurel Center,2620,NSW,7,828,58.0,50-59,81.0,Inner Regional Australia,0.0055554,0.5555379,Bronze
28,Lolly,Prewer,Female,44,Health,Mass Customer,No,15,694 Coolidge Center,2620,NSW,7,988,24.0,18-29,10.0,Major Cities of Australia,0.7160068,71.6006793,Platinum
29,Lolly,Prewer,Female,44,Health,Mass Customer,No,15,694 Coolidge Center,2620,NSW,7,988,24.0,18-29,11.0,Inner Regional Australia,0.2609647,26.09647,Platinum
30,Lolly,Prewer,Female,44,Health,Mass Customer,No,15,694 Coolidge Center,2620,NSW,7,988,24.0,18-29,80.0,Major Cities of Australia,0.0174731,1.7473128,Bronze
31,Lolly,Prewer,Female,44,Health,Mass Customer,No,15,694 Coolidge Center,2620,NSW,7,988,24.0,18-29,81.0,Inner Regional Australia,0.0055554,0.5555379,Bronze
32,Duff,Karlowicz,Male,50,Manufacturing,Mass Customer,Yes,5,717 West Drive,2200,NSW,10,8,49.0,40-49,10.0,Major Cities of Australia,1.0,100.0,Silver
33,Rolland,Esmead,Male,41,Health,Affluent Customer,No,8,72008 7th Avenue,2200,NSW,8,233,81.0,70+,10.0,Major Cities of Australia,1.0,100.0,Silver
34,Kissie,Line,Female,2,Manufacturing,Affluent Customer,Yes,7,629 Grasskamp Junction,2200,NSW,9,862,21.0,18-29,10.0,Major Cities of Australia,1.0,100.0,Silver
35,Ferdinand,Romanetti,Male,60,Financial Services,Affluent Customer,No,9,2 Sloan Way,2200,NSW,7,996,62.0,60-69,10.0,Major Cities of Australia,1.0,100.0,Bronze
36,Barthel,Docket,Male,72,IT,Mass Customer,Yes,17,80 Scofield Junction,4151,QLD,5,10,36.0,30-39,30.0,Major Cities of Australia,1.0,100.0,Silver
37,Clarine,Piecha,Female,99,Health,High Net Worth,No,14,7523 Eggendart Hill,4151,QLD,10,865,57.0,50-59,30.0,Major Cities of Australia,1.0,100.0,Bronze
38,Rockwell,Matson,Male,94,Retail,High Net Worth,No,3,3682 Crowley Point,4573,QLD,6,10,27.0,18-29,30.0,Major Cities of Australia,0.9967523,99.6752336,Bronze
39,Rockwell,Matson,Male,94,Retail,High Net Worth,No,3,3682 Crowley Point,4573,QLD,6,10,27.0,18-29,31.0,Inner Regional Australia,0.0032477,0.3247664,Bronze
40,Wheeler,Winward,Male,48,Manufacturing,Mass Customer,No,10,3 Golden Leaf Point,3216,VIC,8,12,22.0,18-29,20.0,Major Cities of Australia,0.9915374,99.1537388,Silver
41,Wheeler,Winward,Male,48,Manufacturing,Mass Customer,No,10,3 Golden Leaf Point,3216,VIC,8,12,22.0,18-29,21.0,Inner Regional Australia,0.0084626,0.8462612,Silver
42,Ingmar,Okenden,Male,97,Financial Services,Mass Customer,Yes,8,1 Graceland Plaza,3216,VIC,2,478,63.0,60-69,20.0,Major Cities of Australia,0.9915374,99.1537388,Silver
43,Ingmar,Okenden,Male,97,Financial Services,Mass Customer,Yes,8,1 Graceland Plaza,3216,VIC,2,478,63.0,60-69,21.0,Inner Regional Australia,0.0084626,0.8462612,Silver
44,Debby,Balmadier,Female,53,Financial Services,Affluent Customer,Yes,5,738 Spaight Drive,3216,VIC,8,691,29.0,18-29,20.0,Major Cities of Australia,0.9915374,99.1537388,Platinum
45,Debby,Balmadier,Female,53,Financial Services,Affluent Customer,Yes,5,738 Spaight Drive,3216,VIC,8,691,29.0,18-29,21.0,Inner Regional Australia,0.0084626,0.8462612,Platinum
46,Teodor,Mullinder,Male,56,Manufacturing,High Net Worth,No,11,43 Pond Junction,3216,VIC,5,832,59.0,50-59,20.0,Major Cities of Australia,0.9915374,99.1537388,Silver
47,Teodor,Mullinder,Male,56,Manufacturing,High Net Worth,No,11,43 Pond Junction,3216,VIC,5,832,59.0,50-59,21.0,Inner Regional Australia,0.0084626,0.8462612,Silver
48,Olag,Borsi,Male,60,Telecommunications,Mass Customer,No,9,0484 North Avenue,2032,NSW,11,13,31.0,30-39,10.0,Major Cities of Australia,1.0,100.0,Silver
49,Mick,Macewan,Male,32,Financial Services,Mass Customer,No,16,59254 Northland Alley,2032,NSW,10,206,54.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Silver
50,Melba,Spellacy,Female,38,Health,Mass Customer,No,4,0591 Anzinger Circle,2232,NSW,10,14,45.0,40-49,10.0,Major Cities of Australia,0.9992708,99.927079,Silver
51,Melba,Spellacy,Female,38,Health,Mass Customer,No,4,0591 Anzinger Circle,2232,NSW,10,14,45.0,40-49,11.0,Inner Regional Australia,0.0007292,0.072921,Silver
52,Odessa,Mc Andrew,Female,97,Property,Mass Customer,No,8,31756 Meadow Valley Lane,2232,NSW,10,54,40.0,30-39,10.0,Major Cities of Australia,0.9992708,99.927079,Silver
53,Odessa,Mc Andrew,Female,97,Property,Mass Customer,No,8,31756 Meadow Valley Lane,2232,NSW,10,54,40.0,30-39,11.0,Inner Regional Australia,0.0007292,0.072921,Silver
54,Bengt,Bilson,Male,26,Manufacturing,High Net Worth,No,11,67 Grayhawk Circle,2232,NSW,10,99,49.0,40-49,10.0,Major Cities of Australia,0.9992708,99.927079,Bronze
55,Bengt,Bilson,Male,26,Manufacturing,High Net Worth,No,11,67 Grayhawk Circle,2232,NSW,10,99,49.0,40-49,11.0,Inner Regional Australia,0.0007292,0.072921,Bronze
56,Muffin,Grigolon,Male,7,Telecommunications,Mass Customer,No,12,4597 Marcy Point,2232,NSW,10,361,42.0,40-49,10.0,Major Cities of Australia,0.9992708,99.927079,Silver
57,Muffin,Grigolon,Male,7,Telecommunications,Mass Customer,No,12,4597 Marcy Point,2232,NSW,10,361,42.0,40-49,11.0,Inner Regional Australia,0.0007292,0.072921,Silver
58,Aloysius,Glowacz,Male,72,Financial Services,Affluent Customer,No,18,07 Susan Lane,2232,NSW,10,396,42.0,40-49,10.0,Major Cities of Australia,0.9992708,99.927079,Bronze
59,Aloysius,Glowacz,Male,72,Financial Services,Affluent Customer,No,18,07 Susan Lane,2232,NSW,10,396,42.0,40-49,11.0,Inner Regional Australia,0.0007292,0.072921,Bronze
60,Simonette,Borsi,Female,4,Manufacturing,Affluent Customer,Yes,6,66 Hoffman Court,2232,NSW,8,760,31.0,30-39,10.0,Major Cities of Australia,0.9992708,99.927079,Platinum
61,Simonette,Borsi,Female,4,Manufacturing,Affluent Customer,Yes,6,66 Hoffman Court,2232,NSW,8,760,31.0,30-39,11.0,Inner Regional Australia,0.0007292,0.072921,Silver
62,Deirdre,Sturgeon,Female,11,Retail,Mass Customer,Yes,9,7 Sycamore Terrace,2232,NSW,10,760,56.0,50-59,10.0,Major Cities of Australia,0.9992708,99.927079,Silver
63,Deirdre,Sturgeon,Female,11,Retail,Mass Customer,Yes,9,7 Sycamore Terrace,2232,NSW,10,760,56.0,50-59,11.0,Inner Regional Australia,0.0007292,0.072921,Silver
64,Ansell,Tolhurst,Male,77,Manufacturing,Affluent Customer,No,22,13 Montana Place,2232,NSW,10,797,72.0,70+,10.0,Major Cities of Australia,0.9992708,99.927079,Bronze
65,Ansell,Tolhurst,Male,77,Manufacturing,Affluent Customer,No,22,13 Montana Place,2232,NSW,10,797,72.0,70+,11.0,Inner Regional Australia,0.0007292,0.072921,Bronze
66,Beverly,Domnick,Female,56,IT,Mass Customer,No,9,8 Burning Wood Junction,2232,NSW,10,977,83.0,70+,10.0,Major Cities of Australia,0.9992708,99.927079,Platinum
67,Beverly,Domnick,Female,56,IT,Mass Customer,No,9,8 Burning Wood Junction,2232,NSW,10,977,83.0,70+,11.0,Inner Regional Australia,0.0007292,0.072921,Platinum
68,Mandie,Feares,Female,32,Health,Mass Customer,No,10,39 Kedzie Pass,4053,QLD,8,14,57.0,50-59,30.0,Major Cities of Australia,1.0,100.0,Silver
69,Zabrina,Margram,Female,87,Manufacturing,High Net Worth,Yes,11,1092 Kinsman Parkway,4053,QLD,8,515,57.0,50-59,30.0,Major Cities of Australia,1.0,100.0,Bronze
70,Dukie,Swire,Male,88,Manufacturing,Affluent Customer,Yes,5,64 Granby Parkway,2500,NSW,8,16,67.0,60-69,10.0,Major Cities of Australia,1.0,100.0,Silver
71,Cobbie,Bruyett,Male,20,Financial Services,Mass Customer,Yes,20,8593 Prairie Rose Way,2500,NSW,8,674,65.0,60-69,10.0,Major Cities of Australia,1.0,100.0,Bronze
72,Marcelia,Monkleigh,Female,61,Manufacturing,Mass Customer,Yes,4,610 Swallow Street,4051,QLD,6,17,28.0,18-29,30.0,Major Cities of Australia,1.0,100.0,Silver
73,Felice,Dechelette,Male,75,Entertainment,High Net Worth,No,3,4 Kingsford Trail,4051,QLD,4,928,24.0,18-29,30.0,Major Cities of Australia,1.0,100.0,Bronze
74,Winnifred,Beswetherick,Female,83,Financial Services,Mass Customer,No,14,61 4th Street,3040,VIC,10,17,45.0,40-49,20.0,Major Cities of Australia,1.0,100.0,Gold
75,Fitzgerald,Hellikes,Male,25,Health,Mass Customer,Yes,10,315 Center Park,3040,VIC,7,478,42.0,40-49,20.0,Major Cities of Australia,1.0,100.0,Silver
76,Odilia,Quick,Female,65,Manufacturing,Affluent Customer,Yes,11,1550 Russell Way,2222,NSW,11,19,83.0,70+,10.0,Major Cities of Australia,1.0,100.0,Silver
77,Karly,Willavize,Female,2,Manufacturing,High Net Worth,No,12,193 North Point,2190,NSW,10,19,67.0,60-69,10.0,Major Cities of Australia,1.0,100.0,Silver
78,Teddie,Burchill,Male,11,Manufacturing,Mass Customer,Yes,13,321 Raven Plaza,2161,NSW,9,21,53.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Silver
79,Joline,Skipperbottom,Female,59,Financial Services,High Net Worth,No,9,2 Warrior Crossing,2161,NSW,9,529,49.0,40-49,10.0,Major Cities of Australia,1.0,100.0,Silver
80,Nanni,Girodias,Female,61,Retail,High Net Worth,No,16,74 Shopko Pass,2161,NSW,9,617,63.0,60-69,10.0,Major Cities of Australia,1.0,100.0,Silver
81,Kellyann,Adshad,Female,62,Financial Services,Mass Customer,Yes,22,29 Tennyson Alley,2161,NSW,9,620,81.0,70+,10.0,Major Cities of Australia,1.0,100.0,Silver
82,Gaston,Dallaghan,Male,44,Financial Services,Mass Customer,Yes,8,656 Fuller Street,2783,NSW,7,21,28.0,18-29,10.0,Major Cities of Australia,1.0,100.0,Platinum
83,Otis,Ottey,Male,26,Financial Services,Mass Customer,No,3,1562 Merchant Street,4744,QLD,4,23,24.0,18-29,32.0,Outer Regional Australia,1.0,100.0,Silver
84,Tabbatha,Averill,Female,5,Financial Services,Affluent Customer,Yes,13,663 8th Parkway,2257,NSW,8,23,44.0,40-49,10.0,Major Cities of Australia,1.0,100.0,Platinum
85,Lorrie,Antonelli,Male,47,Financial Services,High Net Worth,Yes,17,06936 Bobwhite Circle,2257,NSW,7,57,39.0,30-39,10.0,Major Cities of Australia,1.0,100.0,Bronze
86,Brena,Schnitter,Female,78,Manufacturing,Mass Customer,No,4,67 Shelley Street,4703,QLD,5,25,39.0,30-39,31.0,Inner Regional Australia,0.976966,97.6965993,Silver
87,Brena,Schnitter,Female,78,Manufacturing,Mass Customer,No,4,67 Shelley Street,4703,QLD,5,25,39.0,30-39,32.0,Outer Regional Australia,0.023034,2.3034007,Bronze
88,Rourke,Gillbard,Male,11,Property,Mass Customer,No,17,75 Cordelia Trail,4817,QLD,4,26,76.0,70+,32.0,Outer Regional Australia,0.9936113,99.3611277,Silver
89,Rourke,Gillbard,Male,11,Property,Mass Customer,No,17,75 Cordelia Trail,4817,QLD,4,26,76.0,70+,33.0,Remote Australia,0.0063887,0.6388723,Silver
90,Arleen,Casbolt,Female,48,Financial Services,Affluent Customer,Yes,13,41042 Lotheville Crossing,4817,QLD,1,36,46.0,40-49,32.0,Outer Regional Australia,0.9936113,99.3611277,Silver
91,Arleen,Casbolt,Female,48,Financial Services,Affluent Customer,Yes,13,41042 Lotheville Crossing,4817,QLD,1,36,46.0,40-49,33.0,Remote Australia,0.0063887,0.6388723,Silver
92,Dyane,Burwell,Female,19,Retail,Mass Customer,Yes,7,51 Hooker Court,2640,NSW,2,26,69.0,60-69,11.0,Inner Regional Australia,0.9973323,99.7332303,Platinum
93,Dyane,Burwell,Female,19,Retail,Mass Customer,Yes,7,51 Hooker Court,2640,NSW,2,26,69.0,60-69,12.0,Outer Regional Australia,0.0026677,0.2667697,Platinum
94,Vladimir,Westmerland,Male,18,Manufacturing,Mass Customer,Yes,18,102 Charing Cross Terrace,2640,NSW,4,338,65.0,60-69,11.0,Inner Regional Australia,0.9973323,99.7332303,Platinum
95,Vladimir,Westmerland,Male,18,Manufacturing,Mass Customer,Yes,18,102 Charing Cross Terrace,2640,NSW,4,338,65.0,60-69,12.0,Outer Regional Australia,0.0026677,0.2667697,Platinum
96,Milty,Brauninger,Male,13,Financial Services,High Net Worth,No,11,54 6th Trail,2640,NSW,7,504,76.0,70+,11.0,Inner Regional Australia,0.9973323,99.7332303,Platinum
97,Milty,Brauninger,Male,13,Financial Services,High Net Worth,No,11,54 6th Trail,2640,NSW,7,504,76.0,70+,12.0,Outer Regional Australia,0.0026677,0.2667697,Silver
98,Flore,Cashen,Female,79,Health,High Net Worth,No,17,4 Vera Pass,2640,NSW,4,760,43.0,40-49,11.0,Inner Regional Australia,0.9973323,99.7332303,Bronze
99,Flore,Cashen,Female,79,Health,High Net Worth,No,17,4 Vera Pass,2640,NSW,4,760,43.0,40-49,12.0,Outer Regional Australia,0.0026677,0.2667697,Bronze
100,Claudine,Barstowk,Female,71,Property,High Net Worth,Yes,5,1859 Forest Circle,4000,QLD,11,26,55.0,50-59,30.0,Major Cities of Australia,1.0,100.0,Bronze
101,Michal,Bryan,Female,1,Manufacturing,Mass Customer,Yes,16,4275 Bluestem Pass,4000,QLD,8,104,52.0,50-59,30.0,Major Cities of Australia,1.0,100.0,Silver
102,Barnebas,Apfel,Male,57,Manufacturing,Affluent Customer,Yes,2,05475 Elgar Place,4000,QLD,6,259,26.0,18-29,30.0,Major Cities of Australia,1.0,100.0,Silver
103,Nady,Withinshaw,Female,96,Financial Services,High Net Worth,No,8,7 Brentwood Circle,4000,QLD,7,641,54.0,50-59,30.0,Major Cities of Australia,1.0,100.0,Bronze
104,Hamel,Curzey,Male,11,Financial Services,Mass Customer,Yes,9,6936 Homewood Avenue,4000,QLD,7,733,31.0,30-39,30.0,Major Cities of Australia,1.0,100.0,Bronze
105,Blinnie,Roze,Female,84,Entertainment,High Net Worth,No,11,44557 Rutledge Court,4171,QLD,7,26,61.0,60-69,30.0,Major Cities of Australia,1.0,100.0,Silver
106,Renell,Earley,Female,5,Financial Services,Mass Customer,Yes,11,79 Manufacturers Plaza,4171,QLD,5,500,67.0,60-69,30.0,Major Cities of Australia,1.0,100.0,Silver
107,Rhona,De Freyne,Female,45,Health,High Net Worth,No,8,11184 East Drive,3056,VIC,10,30,61.0,60-69,20.0,Major Cities of Australia,1.0,100.0,Silver
108,Hanson,Eastes,Male,74,Manufacturing,Mass Customer,Yes,5,5735 Starling Plaza,3056,VIC,9,395,31.0,30-39,20.0,Major Cities of Australia,1.0,100.0,Silver
109,Sharron,Claibourn,Female,62,Financial Services,High Net Worth,Yes,17,555 Hermina Avenue,2280,NSW,8,30,42.0,40-49,10.0,Major Cities of Australia,1.0,100.0,Bronze
110,Brien,Heaton,Male,70,Health,Mass Customer,Yes,12,8 Novick Trail,2470,NSW,2,32,70.0,60-69,11.0,Inner Regional Australia,0.9984119,99.8411855,Bronze
111,Brien,Heaton,Male,70,Health,Mass Customer,Yes,12,8 Novick Trail,2470,NSW,2,32,70.0,60-69,12.0,Outer Regional Australia,0.0015881,0.1588145,Bronze
112,Jenny,Massy,Female,82,Telecommunications,Mass Customer,Yes,10,6 Meadow Ridge Pass,2470,NSW,2,715,58.0,50-59,11.0,Inner Regional Australia,0.9984119,99.8411855,Silver
113,Jenny,Massy,Female,82,Telecommunications,Mass Customer,Yes,10,6 Meadow Ridge Pass,2470,NSW,2,715,58.0,50-59,12.0,Outer Regional Australia,0.0015881,0.1588145,Silver
114,Mikel,McNess,Male,71,Financial Services,Mass Customer,No,9,3 Pleasure Drive,4122,QLD,9,32,40.0,30-39,30.0,Major Cities of Australia,1.0,100.0,Silver
115,Cristie,Bence,Female,49,Financial Services,High Net Worth,No,9,3413 Schmedeman Court,4122,QLD,8,828,21.0,18-29,30.0,Major Cities of Australia,1.0,100.0,Silver
116,Leeland,Borsi,Male,66,Telecommunications,High Net Worth,No,12,9 Stephen Center,4122,QLD,4,845,65.0,60-69,30.0,Major Cities of Australia,1.0,100.0,Silver
117,Maisie,Maddox,Female,27,Financial Services,Affluent Customer,No,20,8 Dennis Point,3226,VIC,9,32,44.0,40-49,21.0,Inner Regional Australia,1.0,100.0,Silver
118,Guilbert,Bearns,Male,42,Financial Services,Mass Customer,Yes,5,47776 Packers Street,3226,VIC,8,845,39.0,30-39,21.0,Inner Regional Australia,1.0,100.0,Silver
119,Farlie,Petford,Male,76,Financial Services,High Net Worth,No,13,2330 Butternut Trail,2017,NSW,10,36,53.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Silver
120,Mitchell,MacCague,Male,58,Manufacturing,Mass Customer,No,15,240 Acker Avenue,3190,VIC,8,38,42.0,40-49,20.0,Major Cities of Australia,1.0,100.0,Bronze
121,Nico,Chadwick,Male,97,Financial Services,Affluent Customer,No,13,355 Roxbury Lane,3190,VIC,8,526,68.0,60-69,20.0,Major Cities of Australia,1.0,100.0,Bronze
122,Garik,Whitwell,Male,44,Property,Mass Customer,Yes,13,04 Dexter Way,3280,VIC,2,38,66.0,60-69,21.0,Inner Regional Australia,1.0,100.0,Silver
123,Meriel,Tapp,Female,0,IT,Mass Customer,No,5,65 Milwaukee Hill,3280,VIC,2,114,26.0,18-29,21.0,Inner Regional Australia,1.0,100.0,Silver
124,Antonin,Britt,Male,64,Manufacturing,Affluent Customer,Yes,8,011 Northland Trail,2160,NSW,9,40,28.0,18-29,10.0,Major Cities of Australia,1.0,100.0,Gold
125,Kort,Disley,Male,66,Health,Mass Customer,Yes,7,76 Donald Trail,2160,NSW,9,219,43.0,40-49,10.0,Major Cities of Australia,1.0,100.0,Platinum
126,Sula,Thomann,Female,56,Financial Services,Mass Customer,No,6,7 Dayton Circle,2160,NSW,9,498,32.0,30-39,10.0,Major Cities of Australia,1.0,100.0,Silver
127,Shepherd,Dutchburn,Male,33,Financial Services,High Net Worth,Yes,9,8970 Anhalt Junction,2160,NSW,9,575,45.0,40-49,10.0,Major Cities of Australia,1.0,100.0,Silver
128,Vinny,Incogna,Female,73,Health,High Net Worth,No,10,8 Grayhawk Circle,2756,NSW,8,40,69.0,60-69,10.0,Major Cities of Australia,0.7364959,73.6495853,Bronze
129,Vinny,Incogna,Female,73,Health,High Net Worth,No,10,8 Grayhawk Circle,2756,NSW,8,40,69.0,60-69,11.0,Inner Regional Australia,0.2537579,25.3757869,Bronze
130,Vinny,Incogna,Female,73,Health,High Net Worth,No,10,8 Grayhawk Circle,2756,NSW,8,40,69.0,60-69,12.0,Outer Regional Australia,0.0097463,0.9746278,Bronze
131,Valerie,Pickover,Female,34,Financial Services,Mass Customer,No,9,92214 Spenser Road,2756,NSW,8,78,56.0,50-59,10.0,Major Cities of Australia,0.7364959,73.6495853,Silver
132,Valerie,Pickover,Female,34,Financial Services,Mass Customer,No,9,92214 Spenser Road,2756,NSW,8,78,56.0,50-59,11.0,Inner Regional Australia,0.2537579,25.3757869,Silver
133,Valerie,Pickover,Female,34,Financial Services,Mass Customer,No,9,92214 Spenser Road,2756,NSW,8,78,56.0,50-59,12.0,Outer Regional Australia,0.0097463,0.9746278,Silver
134,Jeanne,Darte,Female,70,Financial Services,Mass Customer,Yes,11,3 Homewood Park,2756,NSW,7,206,66.0,60-69,10.0,Major Cities of Australia,0.7364959,73.6495853,Silver
135,Jeanne,Darte,Female,70,Financial Services,Mass Customer,Yes,11,3 Homewood Park,2756,NSW,7,206,66.0,60-69,11.0,Inner Regional Australia,0.2537579,25.3757869,Silver
136,Jeanne,Darte,Female,70,Financial Services,Mass Customer,Yes,11,3 Homewood Park,2756,NSW,7,206,66.0,60-69,12.0,Outer Regional Australia,0.0097463,0.9746278,Bronze
137,Kariotta,Naper,Female,8,Health,Mass Customer,No,21,87 Crescent Oaks Alley,2756,NSW,10,676,69.0,60-69,10.0,Major Cities of Australia,0.7364959,73.6495853,Silver
138,Kariotta,Naper,Female,8,Health,Mass Customer,No,21,87 Crescent Oaks Alley,2756,NSW,10,676,69.0,60-69,11.0,Inner Regional Australia,0.2537579,25.3757869,Silver
139,Kariotta,Naper,Female,8,Health,Mass Customer,No,21,87 Crescent Oaks Alley,2756,NSW,10,676,69.0,60-69,12.0,Outer Regional Australia,0.0097463,0.9746278,Silver
140,Colene,Fishleigh,Female,24,Financial Services,Mass Customer,No,3,44 Darwin Lane,3149,VIC,10,42,36.0,30-39,20.0,Major Cities of Australia,1.0,100.0,Bronze
141,Genni,Fanstone,Female,25,Entertainment,Mass Customer,No,16,1 Fair Oaks Alley,3149,VIC,10,475,49.0,40-49,20.0,Major Cities of Australia,1.0,100.0,Silver
142,Cliff,Philipsson,Male,82,Argiculture,Mass Customer,No,16,600 Artisan Drive,3149,VIC,10,500,55.0,50-59,20.0,Major Cities of Australia,1.0,100.0,Silver
143,Neile,Argent,Female,79,Retail,Mass Customer,No,8,2548 Arrowood Pass,2024,NSW,10,42,75.0,70+,10.0,Major Cities of Australia,1.0,100.0,Bronze
144,Pietra,Buckleigh,Female,9,Financial Services,High Net Worth,No,13,387 Dixon Alley,2024,NSW,10,85,72.0,70+,10.0,Major Cities of Australia,1.0,100.0,Silver
145,Corinna,Suggey,Female,52,Financial Services,Affluent Customer,No,9,938 Ilene Road,2761,NSW,8,44,55.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Platinum
146,Logan,Colomb,Male,74,Financial Services,Mass Customer,Yes,19,266 Lakewood Terrace,2761,NSW,8,840,74.0,70+,10.0,Major Cities of Australia,1.0,100.0,Bronze
147,Brooke,Arling,Male,76,Financial Services,High Net Worth,No,6,6 Melby Center,3027,VIC,5,44,60.0,50-59,20.0,Major Cities of Australia,1.0,100.0,Silver
148,Gipsy,Ewestace,Female,29,Retail,High Net Worth,Yes,5,08708 Moulton Park,2034,NSW,12,46,65.0,60-69,10.0,Major Cities of Australia,1.0,100.0,Bronze
